"total_bill","tip","sex","smoker","day","time","size"
10.29,3.38413458927535,"Female","No","Sun","Dinner",2
34.81,5.67878968983423,"Female","No","Sun","Dinner",4
9.94,2.18499836671632,"Male","No","Sun","Dinner",2
25.56,4.50618629526347,"Male","No","Sun","Dinner",4
19.49,4.08658393764868,"Male","No","Sun","Dinner",2
38.01,3.78322628999595,"Male","Yes","Sat","Dinner",4
26.41,2.31438286155462,"Female","No","Sat","Dinner",2
11.24,2.54987715728581,"Male","Yes","Sat","Dinner",2
48.27,7.26097414451186,"Male","No","Sat","Dinner",4
20.29,3.59258524953853,"Male","Yes","Sat","Dinner",2
13.81,2.64082062465604,"Male","Yes","Sat","Dinner",2
11.02,2.65122553836089,"Male","Yes","Sat","Dinner",2
18.29,3.94246864362154,"Male","Yes","Sat","Dinner",4
17.59,3.47497809262481,"Male","No","Sat","Dinner",3
20.08,3.95165566850919,"Male","No","Sat","Dinner",3
16.45,2.80712877838407,"Female","No","Sat","Dinner",2
3.07,1.73167456674855,"Female","Yes","Sat","Dinner",1
20.23,2.63050458032172,"Male","No","Sat","Dinner",2
15.01,2.97177197165787,"Male","Yes","Sat","Dinner",2
12.02,2.1463254017802,"Male","No","Sat","Dinner",2
17.07,3.53155305071268,"Female","No","Sat","Dinner",3
26.86,3.34926458286122,"Female","Yes","Sat","Dinner",2
25.28,5.22470728433691,"Female","Yes","Sat","Dinner",2
14.73,2.5497182471212,"Female","No","Sat","Dinner",2
10.51,2.06685012399685,"Male","No","Sat","Dinner",2
17.92,3.89504902169108,"Male","Yes","Sat","Dinner",2
27.2,4,"Male","No","Thur","Lunch",4
22.76,3,"Male","No","Thur","Lunch",2
17.29,2.71,"Male","No","Thur","Lunch",2
19.44,3,"Male","Yes","Thur","Lunch",2
16.66,3.4,"Male","No","Thur","Lunch",2
10.07,1.83,"Female","No","Thur","Lunch",1
32.68,5,"Male","Yes","Thur","Lunch",2
15.98,2.03,"Male","No","Thur","Lunch",2
34.83,5.17,"Female","No","Thur","Lunch",4
13.03,2,"Male","No","Thur","Lunch",2
18.28,4,"Male","No","Thur","Lunch",2
24.71,5.85,"Male","No","Thur","Lunch",2
21.16,3,"Male","No","Thur","Lunch",2
28.97,3.50930947815068,"Male","Yes","Fri","Dinner",2
22.49,4.41694582155906,"Male","No","Fri","Dinner",2
5.75,1.1708242384484,"Female","Yes","Fri","Dinner",2
16.32,5.09058634487446,"Female","Yes","Fri","Dinner",2
22.75,3.36076925338712,"Female","No","Fri","Dinner",2
40.17,4.89890212807339,"Male","Yes","Fri","Dinner",4
27.28,4.28555597297382,"Male","Yes","Fri","Dinner",2
12.03,2.37091166586615,"Male","Yes","Fri","Dinner",2
21.01,3.6711560991127,"Male","Yes","Fri","Dinner",2
12.46,2.17843453960959,"Male","No","Fri","Dinner",2
11.35,2.69542022964451,"Female","Yes","Fri","Dinner",2
15.38,3.87701890198514,"Female","Yes","Fri","Dinner",2
44.3,2.68152829487808,"Female","Yes","Sat","Dinner",3
22.42,4.2764853592217,"Female","Yes","Sat","Dinner",2
20.92,4.87741426834371,"Female","No","Sat","Dinner",2
15.36,2.35719555091113,"Male","Yes","Sat","Dinner",2
20.49,4.33568528223783,"Male","Yes","Sat","Dinner",2
25.21,4.6278623962868,"Male","Yes","Sat","Dinner",2
18.24,4.3555694049364,"Male","No","Sat","Dinner",2
14.31,4.59479393786751,"Female","Yes","Sat","Dinner",2
14,3.75060596007388,"Male","No","Sat","Dinner",2
7.25,1.53726516705938,"Female","No","Sat","Dinner",1
38.07,4.32113851755858,"Male","No","Sun","Dinner",3
23.95,3.05465316749178,"Male","No","Sun","Dinner",2
25.71,4.21676924631465,"Female","No","Sun","Dinner",3
17.31,4.18546013412997,"Female","No","Sun","Dinner",2
29.93,6.00934948239476,"Male","No","Sun","Dinner",4
10.65,1.5,"Female","No","Thur","Lunch",2
12.43,1.8,"Female","No","Thur","Lunch",2
24.08,2.92,"Female","No","Thur","Lunch",4
11.69,2.31,"Male","No","Thur","Lunch",2
13.42,1.68,"Female","No","Thur","Lunch",2
14.26,2.5,"Male","No","Thur","Lunch",2
15.95,2,"Male","No","Thur","Lunch",2
12.48,2.52,"Female","No","Thur","Lunch",2
29.8,4.2,"Female","No","Thur","Lunch",6
8.52,1.48,"Male","No","Thur","Lunch",2
14.52,2,"Female","No","Thur","Lunch",2
11.38,2,"Female","No","Thur","Lunch",2
22.82,2.18,"Male","No","Thur","Lunch",3
19.08,1.5,"Male","No","Thur","Lunch",2
20.27,2.83,"Female","No","Thur","Lunch",2
11.17,1.5,"Female","No","Thur","Lunch",2
12.26,2,"Female","No","Thur","Lunch",2
18.26,3.25,"Female","No","Thur","Lunch",2
8.51,1.25,"Female","No","Thur","Lunch",2
10.33,2,"Female","No","Thur","Lunch",2
14.15,2,"Female","No","Thur","Lunch",2
16,2,"Male","Yes","Thur","Lunch",2
13.16,2.75,"Female","No","Thur","Lunch",2
17.47,3.5,"Female","No","Thur","Lunch",2
34.3,6.7,"Male","No","Thur","Lunch",6
41.19,5,"Male","No","Thur","Lunch",5
27.05,5,"Female","No","Thur","Lunch",6
16.43,2.3,"Female","No","Thur","Lunch",2
8.35,1.5,"Female","No","Thur","Lunch",2
18.64,1.36,"Female","No","Thur","Lunch",3
11.87,1.63,"Female","No","Thur","Lunch",2
9.78,1.73,"Male","No","Thur","Lunch",2
7.51,2,"Male","No","Thur","Lunch",2
14.07,3.37790168256033,"Male","No","Sun","Dinner",2
13.13,2.57876150496304,"Male","No","Sun","Dinner",2
17.26,3.57605342940427,"Male","No","Sun","Dinner",3
24.55,2.56152199900243,"Male","No","Sun","Dinner",4
19.77,2.86008635933977,"Male","No","Sun","Dinner",4
29.85,5.6412714211829,"Female","No","Sun","Dinner",5
48.17,5.88985658967867,"Male","No","Sun","Dinner",6
25,4.56529037964065,"Female","No","Sun","Dinner",4
13.39,3.23411505661439,"Female","No","Sun","Dinner",2
16.49,2.61067414744757,"Male","No","Sun","Dinner",4
21.5,3.66056624427438,"Male","No","Sun","Dinner",4
12.66,3.40981332990341,"Male","No","Sun","Dinner",2
16.21,2.71838082997128,"Female","No","Sun","Dinner",3
13.81,2.83070340079721,"Male","No","Sun","Dinner",2
17.51,3.28799202896189,"Female","Yes","Sun","Dinner",2
24.52,4.43408997505438,"Male","No","Sun","Dinner",3
20.76,3.07431738512591,"Male","No","Sun","Dinner",2
31.71,5.16385875071865,"Male","No","Sun","Dinner",4
10.59,1.86079677267931,"Female","Yes","Sat","Dinner",2
10.63,2.7932778513059,"Female","Yes","Sat","Dinner",2
50.81,10.8390544105787,"Male","Yes","Sat","Dinner",3
15.81,3.69839482779149,"Male","Yes","Sat","Dinner",2
7.25,5.56987333812285,"Male","Yes","Sun","Dinner",2
31.85,3.70494960508775,"Male","Yes","Sun","Dinner",2
16.82,4.35219329446554,"Male","Yes","Sun","Dinner",2
32.9,3.22474236182403,"Male","Yes","Sun","Dinner",2
17.89,2.54407852047589,"Male","Yes","Sun","Dinner",2
14.48,2.45597034967504,"Male","Yes","Sun","Dinner",2
9.6,4.41707535490859,"Female","Yes","Sun","Dinner",2
34.63,3.84841674338095,"Male","Yes","Sun","Dinner",2
34.65,4.32926627890673,"Male","Yes","Sun","Dinner",4
23.33,6.38648192663677,"Male","Yes","Sun","Dinner",2
45.35,4.46514394157566,"Male","Yes","Sun","Dinner",3
23.17,6.72003671061248,"Male","Yes","Sun","Dinner",4
40.55,3.65127343500499,"Male","Yes","Sun","Dinner",2
20.69,5.76139080170542,"Male","No","Sun","Dinner",5
20.9,3.94358626292087,"Female","Yes","Sun","Dinner",3
30.46,2.54013104075566,"Male","Yes","Sun","Dinner",5
18.15,4.10293679188471,"Female","Yes","Sun","Dinner",3
23.1,4.79875901017804,"Male","Yes","Sun","Dinner",3
15.69,2.4410518465098,"Male","Yes","Sun","Dinner",2
19.81,4.19,"Female","Yes","Thur","Lunch",2
28.44,2.56,"Male","Yes","Thur","Lunch",2
15.48,2.02,"Male","Yes","Thur","Lunch",2
16.58,4,"Male","Yes","Thur","Lunch",2
7.56,1.44,"Male","No","Thur","Lunch",2
10.34,2,"Male","Yes","Thur","Lunch",2
43.11,5,"Female","Yes","Thur","Lunch",4
13,2,"Female","Yes","Thur","Lunch",2
13.51,2,"Male","Yes","Thur","Lunch",2
18.71,4,"Male","Yes","Thur","Lunch",3
12.74,2.01,"Female","Yes","Thur","Lunch",2
13,2,"Female","Yes","Thur","Lunch",2
16.4,2.5,"Female","Yes","Thur","Lunch",2
20.53,4,"Male","Yes","Thur","Lunch",4
16.47,3.23,"Female","Yes","Thur","Lunch",3
26.59,4.14849911210127,"Male","Yes","Sat","Dinner",3
38.73,3.43867943498772,"Male","Yes","Sat","Dinner",4
24.27,2.5971157366829,"Male","Yes","Sat","Dinner",2
12.76,2.64595753466245,"Female","Yes","Sat","Dinner",2
30.06,2.22836564267054,"Male","Yes","Sat","Dinner",3
25.89,5.51100951744244,"Male","Yes","Sat","Dinner",4
48.33,9.84718168787658,"Male","No","Sat","Dinner",4
13.27,3.45723999401089,"Female","Yes","Sat","Dinner",2
28.17,7.42692135649268,"Female","Yes","Sat","Dinner",3
12.9,1.76617258829065,"Female","Yes","Sat","Dinner",2
28.15,3.71675951194484,"Male","Yes","Sat","Dinner",5
11.59,1.92692178757861,"Male","Yes","Sat","Dinner",2
7.74,1.66178173651919,"Male","Yes","Sat","Dinner",2
30.14,3.7636449705204,"Female","Yes","Sat","Dinner",4
12.16,2.2,"Male","Yes","Fri","Lunch",2
13.42,3.48,"Female","Yes","Fri","Lunch",2
8.58,1.92,"Male","Yes","Fri","Lunch",1
15.98,3,"Female","No","Fri","Lunch",3
13.42,1.58,"Male","Yes","Fri","Lunch",2
16.27,2.5,"Female","Yes","Fri","Lunch",2
10.09,2,"Female","Yes","Fri","Lunch",2
20.45,3.37789633788634,"Male","No","Sat","Dinner",4
13.28,3.51274284301791,"Male","No","Sat","Dinner",2
22.12,3.83313213621266,"Female","Yes","Sat","Dinner",2
24.01,2.89835281928536,"Male","Yes","Sat","Dinner",4
15.69,3.7863932802109,"Male","Yes","Sat","Dinner",3
11.61,3.87606291050091,"Male","No","Sat","Dinner",2
10.77,1.93061778620351,"Male","No","Sat","Dinner",2
15.53,3.77823057910427,"Male","Yes","Sat","Dinner",2
10.07,1.89690421898849,"Male","No","Sat","Dinner",2
12.6,1.30374720192049,"Male","Yes","Sat","Dinner",2
32.83,1.65129131346941,"Male","Yes","Sat","Dinner",2
35.83,5.63925947740674,"Female","No","Sat","Dinner",3
29.03,6.14598317721859,"Male","No","Sat","Dinner",3
27.18,2.29856336822268,"Female","Yes","Sat","Dinner",2
22.67,2.63585597143974,"Male","Yes","Sat","Dinner",2
17.82,2.27748473663814,"Male","No","Sat","Dinner",2
18.78,3.87229101615958,"Female","No","Thur","Dinner",2
